"strong_code","language","lemma","transliteration"
"H0349c","hebrew","אֵיכָ֫כָה","e.kha.khah"
"H0350","hebrew","אִי־כָבוֹד","i-kha.vod"
"H0351","hebrew","אֵיכֹה","e.khoh"
"H0352a","hebrew","אַ֫יִל","a.yil"
"H0352b","hebrew","אַ֫יִל","a.yil"
"H0352c","hebrew","אַ֫יִל","a.yil"
"H0352d","hebrew","אַ֫יִל","a.yil"
"H0353","hebrew","אֱיָל","e.yal"
"H0354","hebrew","אַיָּל","ay.yal"
"H0355","hebrew","אַיָּלָה","ay.ya.lah"
"H0356","hebrew","אֵלוֹן","e.lon"
"H0357","hebrew","אַיָּלוֹן","ay.ya.lon"
"H0358","hebrew","אֵילוֹן בֵּית חָנָן","e.lon bet cha.nan"
"H0359a","hebrew","אֵילַת","e.lat"
"H0359b","hebrew","אֵילוֹת","e.lot"
"H0360","hebrew","אֱיָלוּת","e.ya.lut"
"H0361","hebrew","אֵילָם","e.lam"
"H0362","hebrew","אֵילִם","e.lim"
"H0363","hebrew","אִילָן","i.lan"
"H0364","hebrew","אֵיל פָּארָן","el pa.ran"
"H0365","hebrew","אַיֶּלֶת","ay.ye.let"
"H0366","hebrew","אָיֹם","a.yom"
"H0367","hebrew","אֵימָה","e.mah"
"H0368","hebrew","אֵימִים","e.mim"
"H0369","hebrew","אַ֫יִן","a.yin"
"H0370","hebrew","אַ֫יִן","a.yin"
"H0371","hebrew","אִין","in"
"H0372","hebrew","אִיעֶזֶר","i.e.zer"
"H0373","hebrew","אִיעֶזְרִי","i.ez.ri"
"H0374","hebrew","אֵיפָה","e.phah"
"H0375","hebrew","אֵיפֹה","e.phoh"
"H0376","hebrew","אִישׁ","ish"
"H0377","hebrew","אשׁשׁ","ish"
"H0378","hebrew","אִישׁ־בֹ֫שֶׁת","ish-bo.shet"
"H0379","hebrew","אִישְׁהוֹד","ish.hod"
"H0380","hebrew","אִישׁוֹן","i.shon"
"H0381","hebrew","אִישׁ־חַיִל","ish-cha.yil"
"H0382","hebrew","אִישׁ־טוֹב","ish-tov"
"H0383","hebrew","אִיתַי","i.tay"
"H0384","hebrew","אִיתִיאֵל","i.ti.el"
"H0385","hebrew","אִיתָמָר","i.ta.mar"
"H0386","hebrew","אֵיתָן","e.tan"
"H0387","hebrew","אֵיתָן","e.tan"
"H0388","hebrew","אֵיתָנִים","e.ta.nim"
"H0389","hebrew","אַךְ","akh"
"H0390","hebrew","אַכַּד","ak.kad"
"H0391","hebrew","אַכְזָב","akh.zav"
"H0392","hebrew","אַכְזִיב","akh.ziv"
"H0393","hebrew","אַכְזָר","akh.zar"
"H0394","hebrew","אַכְזָרִי","akh.za.ri"
"H0395","hebrew","אַכְזְרִיּוּת","akh.ze.riy.yut"
"H0396","hebrew","אֲכִילָה","a.khi.lah"
"H0397","hebrew","אָכִישׁ","a.khish"
"H0398","hebrew","אָכַל","a.khal"
"H0399","hebrew","אֲכַל","a.khal"
"H0400","hebrew","אֹ֫כֶל","o.khel"
"H0401","hebrew","אֻכָל","u.khal"
"H0402","hebrew","אׇכְלָה","okh.lah"
"H0403","hebrew","אָכֵן","a.khen"
"H0404","hebrew","אָכַף","a.khaph"
"H0405","hebrew","אֶ֫כֶף","e.kheph"
"H0406","hebrew","אִכָּר","ik.kar"
"H0407","hebrew","אַכְשָׁף","akh.shaph"
"H0408","hebrew","אַל","al"
"H0409","hebrew","אַל","al"
"H0410","hebrew","אֵל","el"
"H0411","hebrew","אֵל","el"
"H0412","hebrew","אֵל","el"
"H0413","hebrew","אֶל","el"
"H0414","hebrew","אֵלָא","e.la"
"H0415","hebrew","אֵל אֱלֹהֵי יִשְׂרָאֵל","el e.lo.he yis.ra.el"
"H0416","hebrew","אֵל בֵּית־אֵל","el bet-el"
"H0417","hebrew","אֶלְגָּבִישׁ","el.ga.vish"
"H0418","hebrew","אַלְגּוּמִּים","al.gum.mim"
"H0419","hebrew","אֶלְדָּד","el.dad"
"H0420","hebrew","אֶלְדָּעָה","el.da.ah"
"H0421","hebrew","אָלָה","a.lah"
"H0422","hebrew","אָלָה","a.lah"
"H0423","hebrew","אָלָה","a.lah"
"H0424","hebrew","אֵלָה","e.lah"
"H0425","hebrew","אֵלָה","e.lah"
"H0426","hebrew","אֱלָהּ","e.lah"
"H0427","hebrew","אַלָּה","al.lah"
"H0428","hebrew","אֵ֫לֶּה","el.leh"
"H0429","hebrew","אֵלֶּה","el.leh"
"H0430","hebrew","אֱלֹהִים","e.lo.him"
"H0431","hebrew","אֲלוּ","a.lu"
"H0432","hebrew","אִלּוּ","il.lu"
